64 36 40 tag type
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.000000 0.222222 0.027027 0.238095 4.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
0.027027 0.333333 0.054054 0.349206 5.000000 2.000000 
